Nome,Voto_Effetto,Voto_Sapore,Caratteristiche Principali
"Efedra, Ginkgo Biloba, Yerba Mate",0,0,
"Efedra, Ginseng, Ilex Guayasa",0,0,
"Efedra, Ginseng, Moringa",0,0,
"Efedra, Ginseng, Rodiola Rosea",0,0,
"Efedra, Ginseng, Té nero",0,0,
"Efedra, Ginseng, Té verde",0,0,
"Efedra, Ginseng, Yerba Mate",0,0,
"Efedra, Ilex Guayasa, Moringa",0,0,
"Efedra, Ilex Guayasa, Rodiola Rosea",0,0,
"Efedra, Ilex Guayasa, Té nero",0,0,
"Efedra, Ilex Guayasa, Té verde",0,0,
"Efedra, Ilex Guayasa, Yerba Mate",0,0,
"Efedra, Moringa, Rodiola Rosea",0,0,
"Efedra, Moringa, Té nero",0,0,
"Efedra, Moringa, Té verde",0,0,
"Efedra, Moringa, Yerba Mate",0,0,
"Efedra, Rodiola Rosea, Té nero",0,0,
"Efedra, Rodiola Rosea, Té verde",0,0,
"Efedra, Rodiola Rosea, Yerba Mate",0,0,
"Efedra, Té nero, Té verde",0,0,
"Efedra, Té nero, Yerba Mate",0,0,
"Efedra, Té verde, Yerba Mate",0,0,
"Fagiolo Vellutato, Ginkgo Biloba, Ginseng",0,0,
"Fagiolo Vellutato, Ginkgo Biloba, Ilex Guayasa",0,0,
"Fagiolo Vellutato, Ginkgo Biloba, Moringa",0,0,
"Fagiolo Vellutato, Ginkgo Biloba, Rodiola Rosea",0,0,
"Fagiolo Vellutato, Ginkgo Biloba, Té nero",0,0,
"Fagiolo Vellutato, Ginkgo Biloba, Té verde",0,0,
"Fagiolo Vellutato, Ginkgo Biloba, Yerba Mate",0,0,
"Fagiolo Vellutato, Ginseng, Ilex Guayasa",0,0,
"Fagiolo Vellutato, Ginseng, Moringa",0,0,
"Fagiolo Vellutato, Ginseng, Rodiola Rosea",0,0,
"Fagiolo Vellutato, Ginseng, Té nero",0,0,
"Fagiolo Vellutato, Ginseng, Té verde",0,0,
"Fagiolo Vellutato, Ginseng, Yerba Mate",0,0,
"Fagiolo Vellutato, Ilex Guayasa, Moringa",0,0,
